date,Regime_1,Regime_2,Most_Likely
2009-12-31,0.9935448599378653,0.00645514006213323,0
2010-01-31,7.887652832894464e-40,1.0,1
2010-02-28,1.7070087227602068e-48,1.0,1
2010-03-31,6.632924703442251e-13,0.9999999999993356,1
2010-04-30,3.5909053882134416e-28,1.0,1
2010-05-31,0.0002090797809559743,0.9997909202190456,1
2010-06-30,9.423210205367726e-14,0.9999999999999076,1
2010-07-31,1.45079046075892e-23,1.0,1
2010-08-31,0.9581547114356725,0.041845288564327975,0
2010-09-30,0.9682970512359307,0.031702948764070545,0
2010-10-31,0.9998189703293872,0.00018102967061388062,0
2010-11-30,0.9978306622893724,0.002169337710627188,0
2010-12-31,0.9994814397525598,0.0005185602474396716,0
2011-01-31,0.9858455226815499,0.01415447731844903,0
2011-02-28,0.9895289729503479,0.010471027049652193,0
2011-03-31,4.8466705922565825e-05,0.999951533294077,1
2011-04-30,2.995044226443356e-09,0.9999999970049558,1
2011-05-31,1.2580778847177592e-09,0.9999999987419237,1
2011-06-30,0.07637446085555104,0.9236255391444477,1
2011-07-31,0.0014856729093199483,0.9985143270906798,1
2011-08-31,3.389913042267959e-38,1.0,1
2011-09-30,3.592611248041692e-27,1.0,1
2011-10-31,1.6995294784080846e-79,1.0,1
2011-11-30,3.61351356124383e-19,1.0,1
2011-12-31,4.783743030304486e-05,0.9999521625696975,1
2012-01-31,2.184786659821812e-145,1.0,1
2012-02-29,4.708248752401157e-119,1.0,1
2012-03-31,0.8968047856523653,0.10319521434763503,0
2012-04-30,5.647696145058019e-08,0.999999943523038,1
2012-05-31,0.019190984637724295,0.980809015362277,1
2012-06-30,0.025951781470388433,0.9740482185296114,1
2012-07-31,0.03149906123379593,0.9685009387662052,1
2012-08-31,0.9998238167912328,0.0001761832087657177,0
2012-09-30,0.9569455440765915,0.04305445592340928,0
2012-10-31,3.692345860499502e-24,1.0,1
2012-11-30,0.015571611634832063,0.9844283883651691,1
2012-12-31,3.1454741190734304e-05,0.9999685452588085,1
2013-01-31,1.1279439108427165e-09,0.999999998872056,1
2013-02-28,8.866342745347565e-09,0.9999999911336559,1
2013-03-31,0.9094569329313343,0.0905430670686661,0
2013-04-30,9.83759376168861e-13,0.9999999999990159,1
2013-05-31,2.7618454677477917e-08,0.9999999723815453,1
